[09-Jul-2019 15:40:29 Asia/Tokyo] PHP Warning:  require(/work/public/../vendor/autoload.php): failed to open stream: No such file or directory in /work/public/index.php on line 24
[18-Jul-2019 14:40:49 UTC] PHP  15. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:49 UTC] PHP  16. Illuminate\Foundation\Http\Middleware\ConvertEmptyStringsToNull->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:49 UTC] PHP  17. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:21
[18-Jul-2019 14:40:49 UTC] PHP  18. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:49 UTC] PHP  19. App\Http\Middleware\TrustProxies->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:49 UTC] PHP  20. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:28-36}() /work/vendor/fideloper/proxy/src/TrustProxies.php:57
[18-Jul-2019 14:40:49 UTC] PHP  21. App\Http\Kernel->Illuminate\Foundation\Http\{closure:/work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:173-177}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30
[18-Jul-2019 14:40:49 UTC] PHP  22. Illuminate\Routing\Router->dispatch() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:176
[18-Jul-2019 14:40:49 UTC] PHP  23. Illuminate\Routing\Router->dispatchToRoute() /work/vendor/laravel/framework/src/Illuminate/Routing/Router.php:612
[18-Jul-2019 14:40:49 UTC] PHP  24. Illuminate\Routing\Router->runRoute() /work/vendor/laravel/framework/src/Illuminate/Routing/Router.php:623
[18-Jul-2019 14:40:49 UTC] PHP  25. Illuminate\Routing\Router->runRouteWithinStack() /work/vendor/laravel/framework/src/Illuminate/Routing/Router.php:657
[18-Jul-2019 14:40:49 UTC] PHP  26. Illuminate\Routing\Pipeline->then() /work/vendor/laravel/framework/src/Illuminate/Routing/Router.php:682
[18-Jul-2019 14:40:49 UTC] PHP  27. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:104
[18-Jul-2019 14:40:49 UTC] PHP  28. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:49 UTC] PHP  29. App\Http\Middleware\EncryptCookies->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:49 UTC] PHP  30. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:66
[18-Jul-2019 14:40:49 UTC] PHP  31. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:49 UTC] PHP  32. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:49 UTC] PHP  33. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[18-Jul-2019 14:40:49 UTC] PHP  34. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:49 UTC] PHP  35. Illuminate\Session\Middleware\StartSession->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:49 UTC] PHP  36. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:56
[18-Jul-2019 14:40:49 UTC] PHP  37. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:49 UTC] PHP  38. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:49 UTC] PHP  39. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[18-Jul-2019 14:40:49 UTC] PHP  40. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:49 UTC] PHP  41. App\Http\Middleware\VerifyCsrfToken->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:49 UTC] PHP  42. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:75
[18-Jul-2019 14:40:49 UTC] PHP  43. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:49 UTC] PHP  44. Illuminate\Routing\Middleware\SubstituteBindings->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:49 UTC] PHP  45. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Routing/Middleware/SubstituteBindings.php:41
[18-Jul-2019 14:40:49 UTC] PHP  46. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:49 UTC] PHP  47. App\Http\Middleware\RedirectIfAuthenticated->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:49 UTC] PHP  48. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:28-36}() /work/app/Http/Middleware/RedirectIfAuthenticated.php:24
[18-Jul-2019 14:40:49 UTC] PHP  49. Illuminate\Routing\Router->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Router.php:678-682}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30
[18-Jul-2019 14:40:49 UTC] PHP  50. Illuminate\Routing\Route->run() /work/vendor/laravel/framework/src/Illuminate/Routing/Router.php:680
[18-Jul-2019 14:40:49 UTC] PHP  51. Illuminate\Routing\Route->runController() /work/vendor/laravel/framework/src/Illuminate/Routing/Route.php:176
[18-Jul-2019 14:40:49 UTC] PHP  52. Illuminate\Routing\ControllerDispatcher->dispatch() /work/vendor/laravel/framework/src/Illuminate/Routing/Route.php:219
[18-Jul-2019 14:40:49 UTC] PHP  53. App\Http\Controllers\Auth\LoginController->callAction() /work/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:45
[18-Jul-2019 14:40:49 UTC] PHP  54. call_user_func_array:{/work/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54}() /work/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54
[18-Jul-2019 14:40:49 UTC] PHP  55. App\Http\Controllers\Auth\LoginController->login() /work/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54
[18-Jul-2019 14:40:49 UTC] PHP  56. App\Http\Controllers\Auth\LoginController->attemptLogin() /work/vendor/laravel/framework/src/Illuminate/Foundation/Auth/AuthenticatesUsers.php:45
[18-Jul-2019 14:40:49 UTC] PHP  57. Illuminate\Auth\SessionGuard->attempt() /work/vendor/laravel/framework/src/Illuminate/Foundation/Auth/AuthenticatesUsers.php:82
[18-Jul-2019 14:40:49 UTC] PHP  58. Illuminate\Auth\EloquentUserProvider->retrieveByCredentials() /work/vendor/laravel/framework/src/Illuminate/Auth/SessionGuard.php:349
[18-Jul-2019 14:40:49 UTC] PHP  59. Illuminate\Auth\EloquentUserProvider->newModelQuery() /work/vendor/laravel/framework/src/Illuminate/Auth/EloquentUserProvider.php:117
[18-Jul-2019 14:40:49 UTC] PHP  60. Illuminate\Auth\EloquentUserProvider->createModel() /work/vendor/laravel/framework/src/Illuminate/Auth/EloquentUserProvider.php:157
[18-Jul-2019 14:40:49 UTC] PHP  61. spl_autoload_call() /work/vendor/laravel/framework/src/Illuminate/Auth/EloquentUserProvider.php:170
[18-Jul-2019 14:40:49 UTC] PHP  62. Composer\Autoload\ClassLoader->loadClass() /work/vendor/laravel/framework/src/Illuminate/Auth/EloquentUserProvider.php:170
[18-Jul-2019 14:40:49 UTC] PHP  63. Composer\Autoload\includeFile() /work/vendor/composer/ClassLoader.php:322
[18-Jul-2019 14:40:49 UTC] PHP  64. include() /work/vendor/composer/ClassLoader.php:444
[18-Jul-2019 14:40:55 UTC] PHP Fatal error:  Class App\User cannot extend from trait Illuminate\Auth\Authenticatable in /work/app/User.php on line 10
[18-Jul-2019 14:40:55 UTC] PHP Stack trace:
[18-Jul-2019 14:40:55 UTC] PHP   1. {main}() /work/public/index.php:0
[18-Jul-2019 14:40:55 UTC] PHP   2. App\Http\Kernel->handle() /work/public/index.php:55
[18-Jul-2019 14:40:55 UTC] PHP   3. App\Http\Kernel->sendRequestThroughRouter() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116
[18-Jul-2019 14:40:55 UTC] PHP   4. Illuminate\Routing\Pipeline->then() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:151
[18-Jul-2019 14:40:55 UTC] PHP   5. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:104
[18-Jul-2019 14:40:55 UTC] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:55 UTC] PHP   7. App\Http\Middleware\CheckForMaintenanceMode->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:55 UTC] PHP   8. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:62
[18-Jul-2019 14:40:55 UTC] PHP   9. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:55 UTC] PHP  10. Illuminate\Foundation\Http\Middleware\ValidatePostSize->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:55 UTC] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27
[18-Jul-2019 14:40:55 UTC] PHP  12. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:55 UTC] PHP  13. App\Http\Middleware\TrimStrings->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:55 UTC] PHP  14. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:21
[18-Jul-2019 14:40:55 UTC] PHP  15. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:55 UTC] PHP  16. Illuminate\Foundation\Http\Middleware\ConvertEmptyStringsToNull->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:55 UTC] PHP  17. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:21
[18-Jul-2019 14:40:55 UTC] PHP  18. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:55 UTC] PHP  19. App\Http\Middleware\TrustProxies->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:55 UTC] PHP  20. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:28-36}() /work/vendor/fideloper/proxy/src/TrustProxies.php:57
[18-Jul-2019 14:40:55 UTC] PHP  21. App\Http\Kernel->Illuminate\Foundation\Http\{closure:/work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:173-177}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30
[18-Jul-2019 14:40:55 UTC] PHP  22. Illuminate\Routing\Router->dispatch() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:176
[18-Jul-2019 14:40:55 UTC] PHP  23. Illuminate\Routing\Router->dispatchToRoute() /work/vendor/laravel/framework/src/Illuminate/Routing/Router.php:612
[18-Jul-2019 14:40:55 UTC] PHP  24. Illuminate\Routing\Router->runRoute() /work/vendor/laravel/framework/src/Illuminate/Routing/Router.php:623
[18-Jul-2019 14:40:55 UTC] PHP  25. Illuminate\Routing\Router->runRouteWithinStack() /work/vendor/laravel/framework/src/Illuminate/Routing/Router.php:657
[18-Jul-2019 14:40:55 UTC] PHP  26. Illuminate\Routing\Pipeline->then() /work/vendor/laravel/framework/src/Illuminate/Routing/Router.php:682
[18-Jul-2019 14:40:55 UTC] PHP  27. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:104
[18-Jul-2019 14:40:55 UTC] PHP  28. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:55 UTC] PHP  29. App\Http\Middleware\EncryptCookies->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:55 UTC] PHP  30. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:66
[18-Jul-2019 14:40:55 UTC] PHP  31. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:55 UTC] PHP  32. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:55 UTC] PHP  33. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[18-Jul-2019 14:40:55 UTC] PHP  34. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:55 UTC] PHP  35. Illuminate\Session\Middleware\StartSession->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:55 UTC] PHP  36. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:56
[18-Jul-2019 14:40:55 UTC] PHP  37. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:55 UTC] PHP  38. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:55 UTC] PHP  39. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[18-Jul-2019 14:40:55 UTC] PHP  40. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:55 UTC] PHP  41. App\Http\Middleware\VerifyCsrfToken->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:55 UTC] PHP  42. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /work/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:75
[18-Jul-2019 14:40:55 UTC] PHP  43. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[18-Jul-2019 14:40:55 UTC] PHP  44. Illuminate\Routing\Middleware\SubstituteBindings->handle() /work/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163
[18-Jul-2019 14:40:55 UTC] PHP  45. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:28-36}() /work/vendor/laravel/framework/src/Illuminate/Routing/Middleware/SubstituteBindings.php:41
[18-Jul-2019 14:40:55 UTC] PHP  46. Illuminate\Routing\Router->Illuminate\Routing\{closure:/work/vendor/laravel/framework/src/Illuminate/Routing/Router.php:678-682}() /work/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30
[18-Jul-2019 14:40:55 UTC] PHP  47. Illuminate\Routing\Route->run() /work/vendor/laravel/framework/src/Illuminate/Routing/Router.php:680
[18-Jul-2019 14:40:55 UTC] PHP  48. Illuminate\Routing\Route->runController() /work/vendor/laravel/framework/src/Illuminate/Routing/Route.php:176
[18-Jul-2019 14:40:55 UTC] PHP  49. Illuminate\Routing\ControllerDispatcher->dispatch() /work/vendor/laravel/framework/src/Illuminate/Routing/Route.php:219
[18-Jul-2019 14:40:55 UTC] PHP  50. App\Http\Controllers\GamesController->callAction() /work/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:45
[18-Jul-2019 14:40:55 UTC] PHP  51. call_user_func_array:{/work/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54}() /work/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54
[18-Jul-2019 14:40:55 UTC] PHP  52. App\Http\Controllers\GamesController->index() /work/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54
[18-Jul-2019 14:40:55 UTC] PHP  53. spl_autoload_call() /work/app/Http/Controllers/GamesController.php:19
[18-Jul-2019 14:40:55 UTC] PHP  54. Composer\Autoload\ClassLoader->loadClass() /work/app/Http/Controllers/GamesController.php:19
[18-Jul-2019 14:40:55 UTC] PHP  55. Composer\Autoload\includeFile() /work/vendor/composer/ClassLoader.php:322
[18-Jul-2019 14:40:55 UTC] PHP  56. include() /work/vendor/composer/ClassLoader.php:444
